14agree-disagree,DotcountREL,CommacountREL,ExclcountREL,WordcountREL,UppercasecountREL,LowercasecountREL,SpecialcharREL,NumbercountREL,CharcountREL,UniquewordsREL,ApicescountREL,QuotescountREL,OpenparREL,CloseparREL,OperatorcountREL,HashtagcountREL,DottycountREL
1.0,1.5404628880000002,0.0,0.0,1.11556806,0.0,1.0387697329999999,0.42809705600000003,0.0,1,1.11556806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5127927879999999,2.070747113,0.0,0.9902742179999999,1.360498148,1.004854105,0.8312845409999999,0.5080651970000001,1,0.9902742179999999,0.533604527,1.774052311,0.0,0.0,0.42509705799999997,0.0,0.0
1.0,0.539820328,0.40872919799999996,0.0,0.940664627,4.726277539,0.9917029690000001,0.56256344,0.0,1,0.940664627,0.842593473,0.0,1.723535069,1.6020167319999998,0.0,0.0,0.0
1.0,2.275999222,0.8616453359999999,3.5970187960000004,1.0816487609999998,0.0,1.013334392,1.265007518,0.0,1,1.0816487609999998,0.0,0.0,0.0,0.0,0.0,0.0,4.972349512
1.0,0.314223773,0.475833991,0.0,0.782215788,0.250101525,1.0295600759999999,0.6985862409999999,1.245307398,1,0.782215788,2.942789145,0.0,0.0,0.0,1.562919034,2.864881369,0.0
-1.0,0.212656493,1.610145325,0.0,1.001006357,1.0155637690000001,0.9707021999999998,1.477439336,1.6855675890000001,1,1.001006357,1.327723048,7.357040727,0.0,0.0,2.1154661669999997,3.877718217,0.0
1.0,0.90227112,0.0,0.0,0.898430705,0.0,1.029637691,0.752227685,1.787905621,1,0.898430705,0.0,0.0,0.0,0.0,2.243905184,4.1131511089999995,0.0
-1.0,0.915347513,0.0,0.0,1.015025468,0.364278308,1.02873331,0.445158896,0.0,1,1.015025468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.675497095,0.511457927,0.0,1.008932878,0.0,1.05700126,0.46930426,0.669269484,1,1.008932878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,1.3700429159999998,1.6597419919999998,1.732186926,0.880536503,2.8352073110000005,0.9901794140000001,0.9518426959999999,0.0,1,0.880536503,1.283081601,0.0,0.0,0.0,0.0,0.0,3.5917405369999997
1.0,0.091138497,1.51813702,0.0,0.891005658,0.145080538,1.051068779,0.557205692,0.361193055,1,0.891005658,0.569024164,1.891810473,0.0,0.0,0.0,0.0,0.0
1.0,0.34991123799999996,0.7948141190000001,0.0,1.092777715,0.278506408,1.0315391459999999,0.826547502,0.0,1,1.092777715,1.092337245,3.6316472510000004,0.0,0.0,0.0,0.0,0.0
1.0,0.393513884,0.29795212600000004,1.865743394,0.881637608,2.035873163,1.025701099,0.519451101,0.779771922,1,0.881637608,0.614227018,0.0,0.0,0.0,0.48932511799999995,0.89694884,0.0
1.0,0.0,0.0,0.0,0.879582509,1.288984783,0.938034338,1.350152255,3.209061371,1,0.879582509,0.0,0.0,0.0,0.0,4.027522125,7.382578913,0.0
