,Dotcount,Commacount,Exclcount,Wordcount,Uppercasecount,Lowercasecount,Specialchar,Numbercount,Charcount,Uniquewords,Apicescount,Quotescount,Openpar,Closepar,Operatorcount,Hashtagcount,Dottycount,Linkcount,14agree-disagree,DotcountREL,CommacountREL,ExclcountREL,WordcountREL,UppercasecountREL,LowercasecountREL,SpecialcharREL,NumbercountREL,CharcountREL,UniquewordsREL,ApicescountREL,QuotescountREL,OpenparREL,CloseparREL,OperatorcountREL,HashtagcountREL,DottycountREL,LinkcountREL,14agree-disagreeREL
0,4,9,0,80,0,422,18,0,440,80,0,0,0,0,0,0,0,0,,0.574172531091953,1.9563265695479757,0.0,1.0395066012690144,0.0,1.0473656129222089,0.7180355173422764,0.0,1.0,1.0395066012690144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,1,0,0,8,0,39,1,0,41,8,0,0,0,0,0,0,0,0,1.0,1.5404628882954836,0.0,0.0,1.1155680598984545,0.0,1.0387697328485206,0.4280970564100294,0.0,1.0,1.1155680598984545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-54.05266973017557
2,6,16,0,128,10,680,35,3,739,128,2,6,0,0,1,0,0,0,1.0,0.5127927882553301,2.070747113158585,0.0,0.9902742182589799,1.3604981476403366,1.0048541047089536,0.8312845412021543,0.508065196837519,1.0,0.9902742182589799,0.5336045268804435,1.7740523106011454,0.0,0.0,0.4250970578496099,0.0,0.0,,-2.9988625966673865
3,4,2,0,77,22,425,15,0,468,77,2,0,1,1,0,0,0,0,1.0,0.5398203283770499,0.40872919781629125,0.0,0.9406646274304008,4.726277539388161,0.9917029692573676,0.5625634395131796,0.0,1.0,0.9406646274304008,0.842593473001384,0.0,1.7235350686678124,1.6020167324515155,0.0,0.0,0.0,,-4.735383459267519
4,4,1,1,21,0,103,8,0,111,21,0,0,0,0,0,0,1,0,1.0,2.2759992223464804,0.8616453359370463,3.597018796017545,1.0816487607799203,0.0,1.0133343917346507,1.265007518040447,0.0,1.0,1.0816487607799203,0.0,0.0,0.0,0.0,0.0,0.0,4.9723495121419,,-19.965400530965752
5,2,2,0,55,1,379,16,4,402,55,6,0,0,0,2,2,0,0,1.0,0.31422377323440215,0.4758339914876226,0.0,0.7822157882683503,0.2501015251507982,1.0295600764595716,0.6985862413059185,1.245307397886987,1.0,0.7822157882683503,2.9427891445122962,0.0,0.0,0.0,1.5629190335863765,2.864881369326652,0.0,,-5.512834474968155
6,0,0,5,9,13,28,5,0,51,9,0,0,0,0,0,0,0,0,,0.0,0.0,39.14402807430858,1.0089328777022786,25.628050400746496,0.5995513591302674,1.720782285569726,0.0,1.0,1.0089328777022786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
7,1,5,0,52,3,264,25,4,297,52,2,10,0,0,2,2,0,0,-1.0,0.2126564929970196,1.6101453247308442,0.0,1.0010063567775693,1.0155637687941503,0.9707022004966233,1.4774393360952192,1.6855675890591542,1.0,1.0010063567775693,1.3277230483658171,7.35704072690374,0.0,0.0,2.1154661666724692,3.8777182170683973,0.0,,7.461816360057907
8,2,0,0,22,0,132,6,2,140,22,0,0,0,0,1,1,0,0,1.0,0.9022711202873547,0.0,0.0,0.8984307053825052,0.0,1.0296376912410612,0.7522276848347659,1.7879056212520315,1.0,0.8984307053825052,0.0,0.0,0.0,0.0,2.243905183934726,4.113151108818979,0.0,,-15.829710420979987
9,4,0,0,49,1,260,7,0,276,49,0,0,0,0,0,0,0,0,-1.0,0.9153475133349975,0.0,0.0,1.015025467543476,0.3642783083718148,1.0287333103089213,0.44515889561477695,0.0,1.0,1.015025467543476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.029563257018834
