,Unnamed: 0,Dotcount,Commacount,Exclcount,Wordcount,Uppercasecount,Lowercasecount,Specialchar,Numbercount,Charcount,Uniquewords,Apicescount,Quotescount,Openpar,Closepar,Operatorcount,Hashtagcount,Dottycount,Linkcount,14agree-disagree,Unnamed: 0REL,DotcountREL,CommacountREL,ExclcountREL,WordcountREL,UppercasecountREL,LowercasecountREL,SpecialcharREL,NumbercountREL,CharcountREL,UniquewordsREL,ApicescountREL,QuotescountREL,OpenparREL,CloseparREL,OperatorcountREL,HashtagcountREL,DottycountREL,LinkcountREL
0,0,4,9,0,80,0,422,18,0,440,80,0,0,0,0,0,0,0,0,,,inf,inf,,inf,,inf,inf,,inf,inf,,,,,,,,
1,1,1,0,0,8,0,39,1,0,41,8,0,0,0,0,0,0,0,0,1.0,inf,inf,,,inf,,inf,inf,,inf,inf,,,,,,,,
2,2,6,16,0,128,10,680,35,3,739,128,2,6,0,0,1,0,0,0,1.0,0.10295716720623682,126.31795684022966,510.09403887473144,0.0,243.93754909779534,335.1360437020696,247.52906112663894,204.77309198279735,125.1533934876422,246.33333333333334,243.93754909779534,131.44458178821588,437.0082191780822,0.0,0.0,104.71557525028722,0.0,0.0,
3,3,4,2,0,77,22,425,15,0,468,77,2,0,1,1,0,0,0,0,1.0,inf,inf,inf,,inf,inf,inf,inf,,inf,inf,inf,,inf,inf,,,,
4,4,4,1,1,21,0,103,8,0,111,21,0,0,0,0,0,0,1,0,1.0,inf,inf,inf,inf,inf,,inf,inf,,inf,inf,,,,,,,inf,
5,5,2,2,0,55,1,379,16,4,402,55,6,0,0,0,2,2,0,0,1.0,0.19304468851169407,31.579489210057414,47.82131614450607,0.0,78.61268672096921,25.13520327765522,103.47078768418693,70.20791725124481,125.1533934876422,100.5,78.61268672096921,295.7503090234858,0.0,0.0,0.0,157.07336287543083,287.9205776173285,0.0,
6,6,0,0,5,9,13,28,5,0,51,9,0,0,0,0,0,0,0,0,,inf,,,inf,inf,inf,inf,inf,,inf,inf,,,,,,,,
7,7,1,5,0,52,3,264,25,4,297,52,2,10,0,0,2,2,0,0,-1.0,0.27026256391637166,15.789744605028707,119.55329036126518,0.0,74.32472199073453,75.40560983296567,72.07463838687428,109.69987070507003,125.1533934876422,74.25,74.32472199073453,98.58343634116191,546.2602739726027,0.0,0.0,157.07336287543083,287.9205776173285,0.0,
8,8,2,0,0,22,0,132,6,2,140,22,0,0,0,0,1,1,0,0,1.0,0.617743003237421,63.15897842011483,0.0,0.0,62.89014937677537,0.0,72.07463838687428,52.65593793843361,125.1533934876422,70.0,62.89014937677537,0.0,0.0,0.0,0.0,157.07336287543083,287.9205776173285,0.0,
9,9,4,0,0,49,1,260,7,0,276,49,0,0,0,0,0,0,0,0,-1.0,inf,inf,,,inf,inf,inf,inf,,inf,inf,,,,,,,,
10,10,2,1,0,33,0,181,5,1,187,33,0,0,0,0,0,0,0,0,1.0,1.5443575080935525,126.31795684022966,95.64263228901214,0.0,188.6704481303261,0.0,197.6592355761249,87.75989656405602,125.1533934876422,187.0,188.6704481303261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,11,10,8,2,71,13,418,25,0,461,71,3,0,0,0,0,0,3,0,-1.0,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,,,,,,inf,
12,12,1,11,0,108,1,667,22,2,693,108,2,6,0,0,0,0,0,0,1.0,0.9266145048561315,31.579489210057414,526.0344775895668,0.0,308.73346057689724,50.27040655531044,364.19533184882687,193.07177244092324,125.1533934876422,346.5,308.73346057689724,197.16687268232383,655.5123287671233,0.0,0.0,0.0,0.0,0.0,
13,13,2,3,0,69,1,341,17,0,361,69,2,6,0,0,0,0,0,0,1.0,inf,inf,inf,,inf,inf,inf,inf,,inf,inf,inf,inf,,,,,,
14,14,4,2,3,99,13,603,19,4,642,99,2,0,0,0,1,1,0,0,1.0,0.5405251278327433,63.15897842011483,47.82131614450607,299.4518147684606,141.50283609774456,326.75764260951786,164.6250263154742,83.37190173585321,125.1533934876422,160.5,141.50283609774456,98.58343634116191,0.0,0.0,0.0,78.53668143771542,143.96028880866425,0.0,
15,15,0,0,0,12,1,67,6,2,78,12,0,0,0,0,1,1,0,0,1.0,1.1582681310701644,0.0,0.0,0.0,34.30371784187747,50.27040655531044,36.58333918121649,52.65593793843361,125.1533934876422,39.0,34.30371784187747,0.0,0.0,0.0,0.0,157.07336287543083,287.9205776173285,0.0,
16,16,7,10,0,87,3,480,40,8,527,87,3,0,1,1,4,3,1,0,1.0,0.3088715016187105,55.26410611760048,119.55329036126518,0.0,62.17548858840292,37.70280491648283,65.52239853352206,87.75989656405602,125.1533934876422,65.875,62.17548858840292,73.93757725587145,0.0,100.82680151706701,93.71797884841365,157.07336287543083,215.9404332129964,68.99134948096886,
17,17,5,2,0,44,1,240,10,2,260,44,1,0,1,1,0,0,1,0,1.0,1.3127038818795196,157.89744605028707,95.64263228901214,0.0,125.78029875355074,50.27040655531044,131.04479706704413,87.75989656405602,125.1533934876422,130.0,125.78029875355074,98.58343634116191,0.0,403.30720606826804,374.8719153936546,0.0,0.0,275.96539792387546,
18,18,5,4,0,49,1,239,13,0,257,49,2,0,0,0,0,0,0,0,1.0,inf,inf,inf,,inf,inf,inf,inf,,inf,inf,inf,,,,,,,
19,19,5,4,0,49,1,239,13,0,257,49,2,0,0,0,0,0,0,0,1.0,inf,inf,inf,,inf,inf,inf,inf,,inf,inf,inf,,,,,,,
20,20,4,2,0,88,6,510,19,0,535,88,0,6,0,0,1,0,0,0,1.0,inf,inf,inf,,inf,inf,inf,inf,,inf,inf,,inf,,,inf,,,
21,21,3,0,2,53,10,288,14,2,320,53,0,6,0,0,1,1,0,0,0.0,1.62157538349823,94.73846763017224,0.0,399.2690863579475,151.50808713495883,502.7040655531044,157.25375648045298,122.86385518967842,125.1533934876422,160.0,151.50808713495883,0.0,655.5123287671233,0.0,0.0,157.07336287543083,287.9205776173285,0.0,
22,22,7,5,1,94,2,566,36,0,608,94,1,14,0,0,0,0,1,0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,,,,,inf,
23,23,12,7,0,92,12,503,26,10,551,92,7,0,0,0,1,0,0,0,1.0,0.35520222686151703,75.7907741041378,66.9498426023085,0.0,52.59903402421212,120.64897573274506,54.929610770602665,45.63514621330913,125.1533934876422,55.1,52.59903402421212,138.01681087762668,0.0,0.0,0.0,31.41467257508617,0.0,0.0,
24,24,1,1,0,30,0,168,2,0,171,30,0,0,0,0,0,0,0,0,0.0,inf,inf,inf,,inf,,inf,inf,,inf,inf,,,,,,,,
25,25,6,9,4,129,6,738,56,18,820,129,3,6,1,1,6,5,0,0,1.0,0.21449409834632674,21.052992806704943,47.82131614450607,88.72646363509944,40.97388520002032,33.513604370206956,44.77363899790675,54.6061578620793,125.1533934876422,45.55555555555556,40.97388520002032,32.86114544705397,72.83470319634702,44.811911785363115,41.652435043739395,104.71557525028722,159.95587645407142,0.0,
26,26,0,1,2,26,0,138,6,0,146,26,0,0,0,0,0,0,0,0,1.0,inf,,inf,inf,inf,,inf,inf,,inf,inf,,,,,,,,
27,27,15,9,1,108,6,628,34,18,688,108,1,0,0,0,7,0,1,0,1.0,0.23165362621403288,52.63248201676236,47.82131614450607,22.18161590877486,34.30371784187747,33.513604370206956,38.10006136949246,33.153738701976714,125.1533934876422,38.22222222222222,34.30371784187747,10.95371514901799,0.0,0.0,0.0,122.16817112533509,0.0,30.662821991541712,
28,28,8,19,1,133,5,883,61,10,959,133,3,6,1,1,7,5,0,0,1.0,0.43242010226619465,50.527182736091866,181.72100134912307,39.92690863579475,76.0399078828284,50.27040655531044,96.4271298418333,107.06707380814834,125.1533934876422,95.9,76.0399078828284,59.15006180469715,131.10246575342464,80.6614412136536,74.97438307873092,219.90270802560315,287.9205776173285,0.0,
29,29,6,1,0,77,0,428,9,2,443,77,1,0,0,0,0,0,0,0,1.0,2.239318386735651,189.47693526034448,47.82131614450607,0.0,220.11552281871377,0.0,233.69655476956206,78.98390690765042,125.1533934876422,221.5,220.11552281871377,98.58343634116191,0.0,0.0,0.0,0.0,0.0,0.0,
30,30,3,6,0,54,0,342,12,4,358,54,0,0,1,1,0,0,1,0,,1.1582681310701644,47.36923381508612,143.46394843351823,0.0,77.18336514422431,0.0,93.36941791026895,52.65593793843361,125.1533934876422,89.5,77.18336514422431,0.0,0.0,201.65360303413402,187.4359576968273,0.0,0.0,137.98269896193773,
