DotcountREL,CommacountREL,ExclcountREL,WordcountREL,UppercasecountREL,LowercasecountREL,SpecialcharREL,NumbercountREL,CharcountREL,UniquewordsREL,ApicescountREL,QuotescountREL,OpenparREL,CloseparREL,OperatorcountREL,HashtagcountREL,DottycountREL,LinkcountREL
1.39894783,0,0,1.134938706,0.508324217,1.10639811,0.703060286,0,1,1.134938706,,0.934147414,0,0,0,2.58480192,0,0
1.352316236,2.545839207,0,0.89763334,0.859915134,1.058822991,0.764578061,0,1,0.89763334,,0.903009167,0,0,0,0,0,0
2.535592943,0,0,0.498685189,1.996231561,0.815507607,1.911445153,1.501345323,1,0.498685189,,1.128761458,0,0,3.482935845,3.12330232,0,3.901698784
2.483846148,0,0,0.977015881,2.105914614,0.864345299,1.352314938,0.490235207,1,0.977015881,,1.10572551,0,0,1.705927761,0,0,1.911036139
2.682280138,0,0,1.03858403,0.974638168,0.997038429,1.095263338,0.397050003,1,1.03858403,,0.895546281,0,0,1.3816605,0,0,1.547781336
0,2.727684864,0,1.175472231,0.658098317,1.111534958,0.728169582,0,1,1.175472231,,0.967509821,0,0,0.497562264,0,0,0
0,5.764164242,0,1.129098541,0.556279332,1.101805514,0.673213387,0,1,1.129098541,,1.022274528,0,0,0,0,0,0
0.659666457,0,0,0.973044271,0.599243996,1.043432364,1.243216359,0,1,0.973044271,,0.880984553,0,0,2.265324127,0,0,1.52261416
3.042711531,0,0,0.89763334,1.47414023,0.898395265,1.401726445,1.801614387,1,0.89763334,,1.35451375,0,0,2.089761507,0,0,2.341019271
0.699473915,2.633626766,0,0.980174337,0.381243163,1.051078204,0.966707893,0.828328454,1,0.980174337,,0.934147414,0,0,1.441214832,0,0,1.614496049
0,0,0,1.228902787,0.263239327,1.145912328,0.455105989,0.857911613,1,1.228902787,,0.967509821,0,0,0,0,0,0
0.780182444,0,0,1.323433771,0.425232759,1.122994082,0.490114142,0,1,1.323433771,,1.041933654,0,0,0,0,0,0
2.135236162,0,0,1.259836267,0.646552732,1.047002001,0.983667681,0,1,1.259836267,,0.950535965,0,0,0.977666202,0,0,1.642820541
0.772752135,2.909530522,0,0.911881489,1.544337383,0.880060668,1.262160609,2.745317161,1,0.911881489,,1.032010476,0,0,1.592199243,0,0,1.78363373
0.670570034,0,0,1.088040413,0.852808397,0.965218054,0.758259234,3.176400021,1,1.088040413,,0.895546281,0,0,0,2.477991923,0,1.547781336
0.705556297,0,0,1.144807738,0.640930535,1.060218015,0.53188039,1.67106262,1,1.144807738,,0.942270435,0,0,0,0,0,0
0,2.567232814,0,1.156614388,0.24775466,1.164786178,0.514002058,0,1,1.156614388,,0.910597479,0,0,0,0,0,0
1.955156004,3.680731383,0,1.153585016,0.355214513,1.082403934,0.859766494,0,1,1.153585016,,1.305555422,0,0,0,0,0,0
